Date_adoption,Magasin,M_Me,NOM,Prénom,Recipient,Téléphone,Nom chat,Numéro identification,Date de naissance,"Adulte / 
Chaton",Sexe,Sté_Fait,"Véto 
pour sté ?",Presta restant à faire le jour de la JA,Dossier IE complet ?,year,Date dossier IE complet,"Chgt IE 
Fait",Sapca / Retour / Perdu / dcd,Date,Commentaires,"Date relance
 nouvelles",Réponse relance ?,Dernières nlles reçues,Email Sent
04/07/2026,Truffaut,,,,,,,,,,,,,,,,,,,,,,,,
20/06/2026,Truffaut,Me,Tota,Truc,TotaTruc@mail.tt,00 00 00 00 00,AAA,123456789101112,6/1/2025,Adulte,F,x,,ok,,,,,,,,,,,
20/06/2026,Truffaut,Me,Totb,Truca,TotbTruca@mail.tt,00 00 00 00 00,AAB,123456789101112,9/3/2025,Chaton,F,,,Stérilisation ,,,,,,,,,,,
20/06/2026,Animalis,Me,Totc,Trucb,TotcTrucb@mail.tt,00 00 00 00 00,AAC,123456789101112,6/1/2025,Adulte,M,x,,Stérilisation ,,,,,,,,,,,
20/06/2026,Amazonie,M,Totd,Trucc,TotdTrucc@mail.tt,00 00 00 00 00,AAD,123456789101112,6/1/2025,Adulte,F,x,,Stérilisation ,,,,,,,,,,,
20/06/2026,,M,Tote,Trucd,ToteTrucd@mail.tt,00 00 00 00 00,AAE,123456789101112,6/1/2025,Adulte,M,x,,Stérilisation ,,,,,,,,,,,
20/06/2026,Truffaut,,Totf,Truce,TotfTruce@mail.tt,00 00 00 00 00,AAF,123456789101112,6/1/2025,Adulte,M,x,,Stérilisation ,,,,,,,,,,,
20/06/2026,Truffaut,M,,Trucf,Trucf@mail.tt,00 00 00 00 00,AAG,123456789101112,9/3/2025,Chaton,M,,,Stérilisation ,,,,,,,,,,,
20/06/2026,Truffaut,Me,Totg,,Totg@mail.tt,00 00 00 00 00,AAH,123456789101112,9/3/2025,Chaton,M,,,Stérilisation ,,,,,,,,,,,
20/06/2026,Truffaut,Me,Toth,Trucg,,00 00 00 00 00,AAI,123456789101112,9/3/2025,Chaton,M,,,Stérilisation ,,,,,,,,,,,
20/06/2026,Truffaut,Me,,Truch,Truch@mail,00 00 00 00 00,AAJ,123456789101112,9/3/2025,Chaton,M,x,,Stérilisation ,,,,,,,,,,,
20/06/2026,Truffaut,Me,Toti,Truci,TotiTruci@mail.tt,,AAK,123456789101112,6/1/2025,Adulte,F,x,,Stérilisation ,,,,,,,,,,,
20/06/2026,Truffaut,M,Totj,Trucj,TotjTrucj@mail.tt,00 00 00 00 00,,123456789101112,6/1/2025,Adulte,F,x,,Stérilisation ,,,,,,,,,,,
20/06/2026,Animalis,M,Totk,Truck,TotkTruck@mail.tt,00 00 00 00 00,AAM,,6/1/2025,Adulte,F,x,,Stérilisation ,,,,,,,,,,,
20/06/2026,Animalis,M,Totl,Trucl,TotlTrucl@mail.tt,00 00 00 00 00,AAN,123456789101112,,Chaton,F,,,Stérilisation ,,,,,,,,,,,
20/06/2026,Animalis,M,Totm,Trucm,TotmTrucm@mail.tt,00 00 00 00 00,AAO,123456789101112,9/3/2025,,F,,,Stérilisation ,,,,,,,,,,,
20/06/2026,Animalis,M,Totn,Trucn,TotnTrucn@mail.tt,00 00 00 00 00,AAP,123456789101112,9/3/2025,Adulte,,,,Stérilisation ,,,,,,,,,,,
20/06/2026,Animalis,M,Toto,Truco,TotoTruco@mail.tt,00 00 00 00 00,AAQ,123456789101112,6/1/2025,Chaton,M,,,Stérilisation ,,,,,,,,,,,
13/06/2026,Animalis,M,Totp,Trucp,TotpTrucp@mail.tt,00 00 00 00 00,AAR,123456789101112,6/1/2025,Chaton,M,,,Stérilisation ,,,,,,,,,,,
13/06/2026,Animalis,M,Totq,Trucq,TotqTrucq@mail.tt,00 00 00 00 00,AAS,123456789101112,6/1/2025,Chaton,M,x,,Stérilisation ,,,,,,,,,,,
13/06/2026,Animalis,Me,Totr,Trucr,TotrTrucr@mail.tt,00 00 00 00 00,AAT,123456789101112,6/1/2025,Chaton,M,x,,Stérilisation ,,,,,,,,,,,
13/06/2026,Animalis,Me,Totr,Trucs,TotrTrucs@mail.tt,00 00 00 00 00,AAU,123456789101112,9/3/2025,Adulte,F,,,,,,,,,,,,,,
13/06/2026,Animalis,Me,Tots,Truct,TotsTruct@mail.tt,00 00 00 00 00,AAV,123456789101112,9/3/2025,Adulte,F,,,Stérilisation ,,,,,,,,,,,
13/06/2026,Truffaut,Me,Tott,Trucu,TottTrucu@mail.tt,00 00 00 00 00,AAW,123456789101112,9/3/2025,Adulte,F,x,,Stérilisation ,,,,,,,,,,,
13/06/2026,Truffaut,M,Totu,Trucv,TotuTrucv@mail.tt,00 00 00 00 00,AAX,123456789101112,9/3/2025,Adulte,F,x,,Stérilisation ,,,,,,,,,,,
